,category,price
790,Frozen Item,675.0
791,Frozen Item,550.0
792,Dry & Packaged Food ,500.0
793,Dry & Packaged Food ,50.0
794,Hygiene & Cleaning Essentials,130.0
795,Hygiene & Cleaning Essentials,280.0
796,Cooking Essentials ,175.0
797,Cooking Essentials ,550.0
798,Cooking Essentials ,470.0
799,Cooking Essentials ,210.0
800,Hygiene Essentials,168.0
801,Hygiene Essentials,144.0
802,Hygiene Essentials,128.0
803,Cooking Essentials ,1950.0
804,Cooking Essentials ,210.0
805,Hygiene & Cleaning Essentials,160.0
806,Cooking Essentials ,1100.0
807,Cooking Essentials ,725.0
808,Dry & Packaged Food ,60.0
809,Cooking Essentials ,440.0
810,Sweets & Chocolates,440.0
811,Cooking Essentials ,375.0
812,Cooking Essentials ,500.0
813,Cooking Essentials ,1500.0
814,Cooking Essentials ,1200.0
815,Cooking Essentials ,250.0
816,Cooking Essentials ,1500.0
817,Cooking Essentials ,500.0
818,Cooking Essentials ,100.0
819,Cooking Essentials ,2350.0
820,Cooking Essentials ,550.0
821,Cooking Essentials ,200.0
822,Cooking Essentials ,600.0
823,Cooking Essentials ,1800.0
824,Cooking Essentials ,400.0
825,Cooking Essentials ,1150.0
826,Cooking Essentials ,3500.0
827,Cooking Essentials ,800.0
828,Cooking Essentials ,3000.0
829,Cooking Essentials ,725.0
830,Dry & Packaged Food ,70.0
831,Cooking Essentials ,158.4
832,Cooking Essentials ,950.0
833,Cooking Essentials ,1200.0
834,Cooking Essentials ,152.0
835,Cooking Essentials ,1100.0
836,Cooking Essentials ,224.0
837,Cooking Essentials ,3400.0
838,Cooking Essentials ,840.0
839,Cooking Essentials ,2125.0
840,Cooking Essentials ,240.0
841,Cooking Essentials ,840.0
842,Cooking Essentials ,104.0
843,Cooking Essentials ,840.0
844,Cooking Essentials ,840.0
845,Groceries,460.0
846,Cooking Essentials ,128.0
847,Dry & Packaged Food ,300.0
848,Cooking Essentials ,460.0
849,Cooking Essentials ,375.0
850,Cooking Essentials ,420.0
851,Dry & Packaged Food ,300.0
852,Cooking Essentials ,420.0
853,Cooking Essentials ,375.0
854,Cooking Essentials ,300.0
855,Cooking Essentials ,104.0
856,Cooking Essentials ,700.0
857,Cooking Essentials ,250.0
858,Cooking Essentials ,70.4
859,Cooking Essentials ,700.0
860,Groceries,385.0
